55662.06 	 16.67 	 0.1
55662.99 	 16.56 	 0.11
55664.0 	 16.52 	 0.08
55664.86 	 16.51 	 0.06
55665.91 	 16.48 	 0.03
55666.37 	 16.45 	 0.07
55668.36 	 16.44 	 0.11
55669.3 	 16.39 	 0.08
55669.95 	 16.42 	 0.08
55671.08 	 16.37 	 0.17
55671.3 	 16.32 	 0.09
55671.9 	 16.35 	 0.04
55671.92 	 16.22 	 0.12
55672.4 	 16.23 	 0.07
55674.39 	 16.24 	 0.03
55674.88 	 16.2 	 0.07
55675.91 	 16.17 	 0.05
55676.94 	 16.17 	 0.04
55682.91 	 16.15 	 0.06
55684.87 	 16.14 	 0.06
55688.99 	 16.24 	 0.14
55689.1 	 16.15 	 0.05
55692.87 	 16.2 	 0.04
55695.89 	 16.24 	 0.05
55702.95 	 16.36 	 0.03
55703.86 	 16.4 	 0.09
55708.97 	 16.46 	 0.04
55710.27 	 16.46 	 0.07
55716.99 	 16.65 	 0.03
55724.31 	 16.83 	 0.05
55728.89 	 16.94 	 0.03
55736.0 	 17.15 	 0.04
55738.92 	 17.21 	 0.1
55741.27 	 17.24 	 0.11
55742.89 	 17.26 	 0.11
55749.89 	 17.33 	 0.1
55759.94 	 17.45 	 0.06
55774.88 	 17.68 	 0.09
55901.57 	 19.08 	 0.27
55910.61 	 18.97 	 0.34
55913.22 	 19.13 	 0.22
55917.17 	 19.16 	 0.51
55919.17 	 19.36 	 0.19
55927.26 	 19.36 	 0.23
55948.33 	 19.38 	 0.12
