53085.3	99	99
53087.3	99	99
53088.3	99	99
53088.9	18.18	0.06
53090.4	99	99
53092.3	99	99
53092.6	18.38	0.11
53093.3	99	99
53093.6	18.55	0.05
53094.0	99	99
53094.3	99	99
53095.0	99	99
53095.0	99	99
53095.3	99	99
53096.0	18.95	0.09
53096.3	99	99
53096.9	99	99
53102.3	99	99
53102.8	99	99
53103.0	19.81	0.18
53104.3	99	99
53107.3	99	99
53107.8	99	99
53109.1	99	99
53109.9	99	99
53111.3	99	99
53112.9	99	99
53114.0	20.81	0.08
53115.9	20.91	0.06
53115.9	99	99
53116.9	99	99
53117.0	99	99
53118.1	99	99
53118.9	99	99
53119.3	99	99
53120.0	20.88	0.14
53121.0	99	99
53124.3	99	99
53129.3	99	99
53132.0	21.43	0.13
53134.3	99	99
53136.9	21.44	0.13
53138.2	99	99
53138.9	99	99
53145.2	99	99
53152.2	99	99
53159.2	99	99
#53346.2	>23.3	99
53436.2	99	99
