## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN1994I 	 0.0015 	 0.33 	 8.31 	 49438.5 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
5.94999999999709 	 5.350640091280888e+41 	 41.72840573930774 	 0.011799478838283538
6.019999999996799 	 5.318796421777366e+41 	 41.725813367912096 	 0.011798499676369317
6.870000000002619 	 6.922327523435278e+41 	 41.84025214368038 	 0.016478547679802388
7.919999999998254 	 9.289887205123822e+41 	 41.968010440959226 	 0.02407277775715824
8.889999999999418 	 1.0535657754083436e+42 	 42.02266165432966 	 0.0294566059691325
8.970000000001164 	 1.0845340538864525e+42 	 42.03524319321769 	 0.030509902348895016
10.860000000000582 	 1.3546893606273034e+42 	 42.13183971998385 	 0.043872679133411134
13.94999999999709 	 1.4166375257185613e+42 	 42.15125874176609 	 0.05658347209828288
14.940000000002328 	 1.243486914622612e+42 	 42.094641219491685 	 0.052826036086217644
14.94999999999709 	 1.2844160583732485e+42 	 42.108705726682146 	 0.05459803308441898
15.819999999999709 	 1.180345627614838e+42 	 42.07200919560027 	 0.05284819818322307
15.849999999998545 	 1.172425027445951e+42 	 42.06908508063441 	 0.05258567855870554
16.87999999999738 	 1.1361187909054881e+42 	 42.05542374293975 	 0.05403772158798422
16.87999999999738 	 1.1361187909054881e+42 	 42.05542374293975 	 0.05403772158798422
17.830000000001746 	 9.62420723555288e+41 	 41.983364965982666 	 0.04819872456835527
17.839999999996508 	 9.758839224298971e+41 	 41.98939816311116 	 0.04889887521398708
18.81999999999971 	 8.65967098672047e+41 	 41.93750139185959 	 0.04564479685541177
21.849999999998545 	 5.885311768369348e+41 	 41.76976947409467 	 0.035711823561188426
22.81999999999971 	 5.2238784916660004e+41 	 41.71799306661834 	 0.03300169491936557
24.849999999998545 	 4.447741852985954e+41 	 41.648139572846226 	 0.030359383811883623
30.80999999999767 	 2.467427938319347e+41 	 41.39224447787774 	 0.020174515867908964
30.81999999999971 	 2.5503628289691106e+41 	 41.40660197000646 	 0.020857899038243845
31.80000000000291 	 2.2241825924545893e+41 	 41.34717043742458 	 0.01863440256175028
32.79000000000087 	 2.1387617964586748e+41 	 41.330162417930936 	 0.01833663387045748
35.79000000000087 	 1.883526496339222e+41 	 41.27497173398074 	 0.01719416692570708
36.79000000000087 	 1.7985590124478527e+41 	 41.25492469200719 	 0.016730795005427162
36.80999999999767 	 1.6891377642922283e+41 	 41.22766507161482 	 0.015718695738742315
37.779999999998836 	 1.7453380906149914e+41 	 41.24187956692053 	 0.016526729747178566
39.80000000000291 	 1.580249699125455e+41 	 41.198725716311515 	 0.01547808977684552
39.80999999999767 	 1.5127006306094613e+41 	 41.17975298794473 	 0.014818836259049298
41.779999999998836 	 1.422324300732303e+41 	 41.15299863012144 	 0.01436134920304887
41.830000000001746 	 1.3476975493473007e+41 	 41.129592438647734 	 0.01361786660698206
42.80999999999767 	 1.4006128016988622e+41 	 41.14631809151202 	 0.014354419791840692
46.76000000000204 	 1.2214533405477003e+41 	 41.086876881600325 	 0.013192402256083792
46.7699999999968 	 1.2546043128076734e+41 	 41.09850677612763 	 0.013552142523163198
47.75 	 1.2100778369069871e+41 	 41.08281330672303 	 0.01322975154161439
51.69999999999709 	 1.0779772633691335e+41 	 41.032609600834526 	 0.012337133826161627
54.75 	 9.441335965430673e+40 	 40.97503345206955 	 0.011166804026113026
54.81999999999971 	 9.892446479787437e+40 	 40.99530370932008 	 0.011708971399745074
55.7699999999968 	 9.548600701987778e+40 	 40.979939732638066 	 0.01141457547248581
55.87000000000262 	 9.964149343170177e+40 	 40.99844022814073 	 0.011923672615709422
56.779999999998836 	 9.224423489870001e+40 	 40.96493923304334 	 0.011142290078776585
62.86000000000058 	 7.716270348708797e+40 	 40.8874074352621 	 0.009898997484483578
63.79000000000087 	 7.6346801234257935e+40 	 40.88279084577472 	 0.009882249642069687
65.70999999999913 	 7.8593501263918e+40 	 40.89538663660042 	 0.010360773565384288
66.94000000000233 	 7.59949166210912e+40 	 40.88078454284336 	 0.010135206669340318
72.70999999999913 	 6.192573114931569e+40 	 40.791871142948445 	 0.008714269962559586
#t_peak = 13.94999999999709
#L_peak = 1.4166375257185613e+42
#M_ni = 0.05658347209828288
