#SN & Type & log$(L\mathrmp)$ &$M_\mathrmNi$ (M$_\odot$) &$t_\mathrmp$ (days) & $t_-1/2$ (days) & $t_+1/2$ (days) & Width (days)  \\
##
##
SN2008hw  GRB-SN  43.156  0.050 0.050   0.496  0.064 0.057   12.307 0.100   -  -  -
SN2009bb  Ic  42.685  0.123 0.121   0.171  0.057 0.042   12.631 0.095   6.637  0.059   13.060  0.357   19.697  0.362 
#2009er*  Ib  42.724  0.013 0.012   -  -  -  14.225  0.049   -
SN2009iz*  Ib  42.085  0.010 0.010   0.070  0.006 0.006   21.828 1.650   13.793  0.000   23.220  0.169   37.013  0.169 
SN2009jf  Ib  42.478  0.022 0.027   0.169  0.010 0.011   21.267 0.164   11.212  0.444   19.901  0.631   31.113  0.771 
SN2010as  IIb  42.524  0.088 0.087   0.117  0.027 0.022   12.442 0.122   9.661  0.024   16.541  0.415   26.202  0.415 
SN2010bh  GRB-SN  42.365  0.053 0.053   0.082  0.011 0.010   12.737 0.099   3.287  0.303   9.286  0.884   12.573  0.934 
SN2010ma  GRB-SN  43.060  0.234 0.071   0.346  0.444 0.136   10.331 4.338   -  12.450  0.482   -
SN2011bm  Ic  42.705  0.031 0.037   0.427  0.033 0.036   34.586 0.151   -  43.446  1.544   -
SN2011dh  IIb  42.084  0.008 0.012   0.052  0.001 0.001   15.712 0.017   9.638  0.034   14.525  0.119   24.163  0.124 
SN2011ei  IIb  41.969  0.089 0.088   0.044  0.010 0.008   17.732 0.033   10.247  0.033   16.893  0.360   27.140  0.362 
#2011fu  IIb  42.338  0.008 0.012   -  -  -  18.016  0.283   -
SN2011hs  IIb  41.903  0.011 0.012   0.021  0.001 0.001   8.588 0.057   7.718  0.023   11.199  0.263   18.917  0.264 
SN2011kl  \mathrma   GRB-SN  43.324  0.166 0.157  - 15.169 0.071   6.889  0.142   12.712  0.355   19.601  0.382 
SN2012ap  Ic-BL  42.472  0.162 0.158   0.109  0.052 0.035   13.192 0.308   8.648  1.337   15.546  0.174   24.193  1.348 
SN2012bz  GRB-SN  42.795  0.029 0.032   0.240  0.026 0.013   13.491 0.224   9.838  0.066   17.110  0.177   26.947  0.189 
#2013cq  GRB-SN  42.960  0.050 0.100   -  -  -  -  -
SN2013cu  IIb  42.661  0.007 0.006   0.125  0.003 0.002   9.009 0.082   6.890  0.031   12.516  0.163   19.406  0.166 
SN2013df  IIb  42.198  0.034 0.037   0.091  0.008 0.008   21.793 0.103   13.897  0.101   11.727  0.310   25.624  0.326 
#2013dx  GRB-SN  42.831  0.027 0.032   -  -  11.697  1.768   14.389  0.841   26.086  1.958 
SN2013ge  Ibc  42.132  0.019 0.024   0.068  0.009 0.009   18.878 1.697   11.928  0.395   19.953  0.285   31.881  0.487 
#PTF09dh/2009dr*  Ic-BL 42.892  0.035 0.03  -  -  -  18.546  0.247   - 
#PTF10gvb*  Ic-BL  42.775  0.067 0.067   -  -  18.179  19.629   14.344  0.483   32.522  19.635 
#PTF10inj*  Ib  42.438  0.157 0.143   -  -  -  36.035  0.490   -
#PTF10qif*  Ib  42.455  0.123 0.118   -  -  -  13.452  1.764   -
PTF10vgv*  Ic  42.493  0.065 0.063   0.094  0.029 0.022   10.347 1.687   6.538  0.354   9.969  0.000   16.507  0.354 
PTF11bli*  Ibc  42.071  0.018 0.018   0.065  0.008 0.007   20.627 1.658   13.033  0.164   -  -
PTF11jgj*  Ic  42.088  0.022 0.018   0.072  0.010 0.009   22.072 2.170   13.947  1.409   -  -
PTF11klg*  Ic  42.105  0.144 0.125   0.057  0.030 0.018   16.393 1.678   10.358  0.303   14.530  0.039   24.887  0.306 
#PTF11qiq*  Ib  42.161  0.500 0.010   -  -  -  17.000  1.000   -
#PTF11rka*  Ic  42.723  0.050 0.045   -  -  -  45.781  3.909   -
PTF12gzk  Ic  42.708  0.031 0.029   0.226  0.023 0.020   16.345 0.455   -  23.643  0.065   -
#PTF12os*  IIb  41.409  0.007 0.010   -  -  -  17.095  0.492   -
SNiPTF13bvn  Ib  41.997  0.012 0.011   0.043  0.001 0.001   15.953 0.098   8.990  0.024   13.582  0.098   22.572  0.101 
iPTF14dby*  Ic-BL  42.373  0.043 0.042   0.140  0.025 0.022   22.462 1.678   14.193  0.303   20.615  0.884   34.808  0.934 
