#SN & Type & log$(L\mathrmp)$ &$M_\mathrmNi$ (M$_\odot$) &$t_\mathrmp$ (days) & $t_-1/2$ (days) & $t_+1/2$ (days) & Width (days)  \\
##
##
SN1993J  IIb  42.231  0.068 0.066   0.087  0.015 0.012   19.148 0.033   10.313  0.017   12.808  0.116   23.121  0.118 
SN1994I  Ic  42.271  0.346 0.328   0.064  0.080 0.034   12.252 0.211   5.541  0.137   8.522  0.509   14.063  0.527 
SN1996cb  IIb  41.871  0.123 0.123   0.034  0.015 0.011   16.993 1.650   10.737  0.000   15.444  0.017   26.181  0.017 
SN1998bw  GRB-SN  42.780  0.031 0.023   0.260  0.022 0.016   15.861 0.177   9.734  0.372   15.858  0.779   25.593  0.863 
SN1999dn  Ib  42.134  0.084 0.061   0.052  0.023 0.015   13.916 2.841   -  21.827  3.638   -
SN1999ex  Ib  42.335  0.082 0.082   0.106  0.022 0.019   18.349 0.036   9.226  0.053   15.958  0.606   25.183  0.608 
SN2002ap  Ic-BL  42.217  0.010 0.006   0.060  0.001 0.001   13.011 0.000   6.466  0.060   15.506  0.165   21.972  0.175 
SN2003bg  IIb  42.226  0.027 0.014   0.076  0.012 0.009   16.624 1.656   10.504  0.146   28.374  1.318   38.878  1.326 
SN2003jd  Ic-BL  42.795  0.090 0.089   0.219  0.054 0.042   12.504 0.179   9.372  0.505   14.067  0.317   23.439  0.596 
#SN2004aw  Ic  42.448  0.030 0.044   -  -  -  21.273  1.340   -
SN2004fe*  Ic  42.152  0.031 0.030   0.057  0.010 0.009   14.680 1.653   9.276  0.101   -  -
#2004gq  Ib  42.087  0.010 0.006   -  -  -  18.582  0.465   -
#2005az*  Ic  41.981  0.013 0.015   -  -  -  27.282  0.146   -
SN2005bf  Ib  42.170  0.025 0.023   0.073  0.006 0.005   18.325 0.351   -  -  -
#2005hg*  Ib  42.233  0.010 0.013   -  -  -  17.943  0.237   -
#2005hl*  Ib  41.993  0.008 0.005   -  -  -  21.656  0.667   -
SN2005hm*  Ib  41.958  -0.013 0.041   0.048  0.002 0.008   19.927 1.669   12.591  0.250   14.682  1.455   27.274  1.476 
#2005kl*  Ic  41.485  0.008 0.008   -  -  -  20.115  0.027   -
SN2005kr*  Ic-BL  42.759  0.072 0.038   0.187  0.059 0.035   11.405 1.669   7.207  0.252   -  -
SN2005ks*  Ic-BL  42.291  0.066 0.078   0.068  0.020 0.017   12.368 1.656   7.815  0.142   -  -
#2005kz*  Ic  42.004  0.034 0.031   -  -  -  -  -
#2005mf*  Ic  42.121  0.033 0.024   -  -  -  17.281  0.493   -
SN2006T*  IIb  42.145  0.011 0.011   0.054  0.007 0.007   14.148 1.651   8.940  0.051   14.433  0.031   23.372  0.059 
SN2006aj  GRB-SN  42.685  0.020 0.019   0.138  0.007 0.006   9.587 0.040   6.779  0.155   -  -
SN2006el*  IIb  42.041  0.024 0.016   -  -  -  15.594  0.660   -
SN2006ep*  Ib  41.942  0.012 0.013   0.042  0.005 0.005   18.002 1.653   11.375  0.101   15.034  0.013   26.409  0.102 
SN2006fe*  Ic  42.263  0.025 0.026   0.079  0.013 0.012   15.830 1.711   10.002  0.455   19.197  1.431   29.199  1.502 
SN2006fo*  Ib  42.164  0.019 0.019   -  -  -  19.017  0.124   -
SN14475*  Ic-BL  42.558  0.047 0.048   0.110  0.029 0.024   10.501 1.760   6.635  0.613   18.037  1.403   24.672  1.531 
SN2006jo*  Ib  42.371  0.020 0.020   0.071  0.013 0.011   10.366 1.651   6.550  0.067   10.081  0.472   16.630  0.476 
SN2006lc*  Ib  41.954  0.005 0.008   0.034  0.004 0.004   13.837 1.651   8.743  0.050   14.036  0.050   22.779  0.071 
SN2006nx*  Ic-BL  42.847  0.051 0.021   0.276  0.067 0.040   14.279 1.698   9.022  0.401   -  -
#2007C  Ib  42.588  0.085 0.084   -  -  -  12.373  0.186   -
#2007D*  Ic-BL  42.121  0.085 0.082   -  -  -  -  -
SN2007Y  Ib  41.750  0.064 0.072   0.028  0.005 0.005   18.757 0.350   9.284  0.569   15.327  0.285   24.610  0.636 
#2007ag*  Ib  41.884  0.015 0.014   -  -  -  20.052  0.673   -
#2007cl*  Ic  42.077  0.010 0.010   -  -  -  15.616  0.259   -
SN2007gr  Ic  42.087  0.042 0.043   0.045  0.005 0.005   13.146 0.229   8.530  0.025   15.270  0.081   23.800  0.085 
#2007kj*  Ib  42.017  0.009 0.008   -  -  -  -  -
SN2007ms*  Ic  42.319  0.008 0.017   0.122  0.011 0.013   22.231 1.666   14.047  0.231   24.625  0.434   38.672  0.491 
SN2007nc*  Ib  42.065  0.064 0.016   0.055  0.015 0.007   17.734 1.800   11.205  0.718   19.059  4.382   30.264  4.440   
#2007qv*  Ic  42.514  0.023 0.022   -  -  -  -  -
SN2007qx*  Ic  42.118  0.197 0.041   0.054  0.045 0.013   15.094 2.758   9.537  2.211   -  -
SN2007ru  Ic-BL  42.810  0.038 0.009   0.194  0.018 0.005   10.242 0.047   -  14.640  0.485   -
SN2007sj*  Ic  41.961  0.022 0.021   0.036  0.006 0.005   14.542 1.658   9.188  0.164   -  -
SN2007uy  Ib  42.675  0.270 0.260   0.241  0.214 0.110   19.075 0.284   -  15.360  1.160   -
SN2008D  Ib  42.125  0.252 0.240   0.069  0.055 0.030   19.293 0.229   13.239  0.194   17.042  0.722   30.281  0.747 
SN2008ax  IIb  42.099  0.025 0.024   0.065  0.004 0.004   19.283 0.127   10.144  0.085   15.279  0.318   25.423  0.329 
#2008bo  IIb  41.757  0.011 0.011   -  -  -  9.240  0.010   -
